sheet	range	type	values
موجودی اول شب	A2:A268	list	"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31"
موجودی اول شب	C2:C268	list	"1404,1405,1406,1407,1408,1409,1410,1411,1412,1413,1414,1415,1416,1417,1418,1419,1420"
موجودی اول شب	D2:L268	custom	AND(ISNUMBER(D2),(NOT(OR(NOT(ISERROR(DATEVALUE(D2))), AND(ISNUMBER(D2), LEFT(CELL("format", D2))="D")))))
موجودی اول شب	B2:B268	list	"فروردین,اردیبهشت,خرداد,تیر,مرداد,شهریور,مهر,آبان,آذر,دی,بهمن,اسفند"
موجودی آخر شب	A2:A269	list	"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31"
موجودی آخر شب	C2:C269	list	"1404,1405,1406,1407,1408,1409,1410,1411,1412,1413,1414,1415,1416,1417,1418,1419,1420"
موجودی آخر شب	D2:L269	custom	AND(ISNUMBER(D2),(NOT(OR(NOT(ISERROR(DATEVALUE(D2))), AND(ISNUMBER(D2), LEFT(CELL("format", D2))="D")))))
موجودی آخر شب	B2:B269	list	"فروردین,اردیبهشت,خرداد,تیر,مرداد,شهریور,مهر,آبان,آذر,دی,بهمن,اسفند"
