sheet	cell	author	text
تعداد فیش هرشب بجز سالن	C80	unknown	خانم طالبی فراموش کردن تعدادفاکتورهاروبگیرن
تعداد فیش هرشب بجز سالن	C136	unknown	بنده آف بودم همکارم فراموش کردن عدد صدوق رو یادداشت کنند
تعداد فیش هرشب بجز سالن	C150	unknown	من آف بودم خانم صوفی فراموش کردن تعداد فاکتور رو بردارن
