sheet	cell	author	text
پیتزا	G126	unknown	0.87 کیلوگرم تستی بود
پیتزا	F126	unknown	1.065 کیلوگرم به صورت تستی بود
فرنگی	L210	unknown	30 ورق
فرنگی	L212	unknown	30 ورق
فرنگی	E211	unknown	برای تست
فرنگی	L211	unknown	30 ورق\n* به دلیل بزرگتر بودن بیکن درجه اسلایسر توسط آقای موحدی تغییر یافت
