sheet	range	group	formula	count	cached	error
مغایرت	J16		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepOutputToWarehouse,14)	1	#NAME?	#NAME?
مغایرت	E17		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,4)	1	#NAME?	#NAME?
مغایرت	F17		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepInputFromWarehouse,4)	1	#NAME?	#NAME?
مغایرت	I17		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,13)+GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,14)	1	#NAME?	#NAME?
مغایرت	J17		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepOutputToWarehouse,17)+GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepOutputToWarehouse,19)	1	#NAME?	#NAME?
مغایرت	E18		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,5)	1	#NAME?	#NAME?
مغایرت	F18		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepInputFromWarehouse,5)	1	#NAME?	#NAME?
مغایرت	I18		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,15)	1	#NAME?	#NAME?
مغایرت	J18		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepOutputToWarehouse,21)	1	#NAME?	#NAME?
مغایرت	I19		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,16)	1	#NAME?	#NAME?
مغایرت	J19		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_PrepOutputToWarehouse,22)	1	#NAME?	#NAME?
مواد اولیه	B4		'تاریخ'!CN	1	3	
مواد اولیه	C4		'تاریخ'!DN	1	شهریور	
مواد اولیه	D4		'تاریخ'!EN	1	1405	
مواد اولیه	G8		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Accounting_Statistics,2)	1	#NAME?	#NAME?
مواد اولیه	I8		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,7)	1	#NAME?	#NAME?
مواد اولیه	L8		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,4)	1	#NAME?	#NAME?
مواد اولیه	M8		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_ChickenAndBeafWaste,2)	1	#NAME?	#NAME?
مواد اولیه	N8		SUM(LN:LN,MN)	1	#NAME?	#NAME?
مواد اولیه	P8		MINUS(NN,IN)	1	#NAME?	#NAME?
مواد اولیه	Q8		MINUS(IN,GN)	1	#NAME?	#NAME?
مواد اولیه	L9		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,5)	1	#NAME?	#NAME?
مواد اولیه	L10		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,6)	1	#NAME?	#NAME?
مواد اولیه	L11		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,7)	1	#NAME?	#NAME?
مواد اولیه	L12		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,8)	1	#NAME?	#NAME?
مواد اولیه	G13		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Accounting_Statistics,3)	1	#NAME?	#NAME?
مواد اولیه	I13		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,8)	1	#NAME?	#NAME?
مواد اولیه	L13		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,9)	1	#NAME?	#NAME?
مواد اولیه	M13		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_ChickenAndBeafWaste,3)	1	#NAME?	#NAME?
مواد اولیه	N13		SUM(LN:LN,MN)	1	#NAME?	#NAME?
مواد اولیه	P13		MINUS(NN,IN)	1	#NAME?	#NAME?
مواد اولیه	Q13		MINUS(IN,GN)	1	#NAME?	#NAME?
مواد اولیه	L14		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,10)	1	#NAME?	#NAME?
مواد اولیه	L15		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,11)	1	#NAME?	#NAME?
مواد اولیه	L16		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,12)	1	#NAME?	#NAME?
مواد اولیه	G17		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Accounting_Statistics,4)	1	#NAME?	#NAME?
مواد اولیه	I17		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,9)	1	#NAME?	#NAME?
