sheet	range	group	formula	count	cached	error
مواد حساس	F18		LET(\ningredientId, DN,\nsteakSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Steak,Date),\nsteakTotal, getTotalFoodsIngredientPerDay(ingredientId,steakSalesData,"Table_Ingredients_Steak",Refresher),\ngetAverage(steakTotal)\n)	1	Loading...	Loading...
مواد حساس	G18		LET(\ningredientId, DN,\nsteakSalesData,getLast3DaysRows(Table_SalesData_Steak,Date),\nsteakTotal, getTotalFoodsIngredientPerDay(ingredientId,steakSalesData,"Table_Ingredients_Steak",Refresher),\ngetTrendCoefficientLast3Days(steakTotal)\n)	1	Loading...	Loading...
مواد حساس	H18		HN	1	1.15	
مواد حساس	I18		LET(\nfarangiData, getPreviousDayRow(Table_Farangi_Last,Date),\ngetIngredientValueById(DN,farangiData,Refresher)\n)	1	Loading...	Loading...
مواد حساس	J18		LET(\ningredientId, DN,\nsteakSalesData,getPreviousDayRow(Table_SalesData_Steak,Date),\nsteakTotal, getTotalFoodsIngredientPerDay(ingredientId,steakSalesData,"Table_Ingredients_Steak",Refresher),\ncalcBuffer(FN,steakTotal)\n)	1	Loading...	Loading...
مواد حساس	F19		LET(\ningredientId, DN,\namericanPizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_ItalianPizza,Date),\npastaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Pasta,Date),\nsinglePizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_SinglePizza,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\nlaTotal,getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Lasagna",Refresher),\naverage, getAverage({amTotal,itTotal,laTotal,sinTotal}),\nCONVERT_GR_TO_KG(average)\n)	1	Loading...	Loading...
مواد حساس	G19		LET(\ningredientId, DN,\namericanPizzaSalesData,getLast3DaysRows(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getLast3DaysRows(Table_SalesData_ItalianPizza,Date),\npastaSalesData,getLast3DaysRows(Table_SalesData_Pasta,Date),\nsinglePizzaSalesData,getLast3DaysRows(Table_SalesData_SinglePizza,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\nlaTotal,getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Lasagna",Refresher),\ngetTrendCoefficientLast3Days(amTotal,itTotal,laTotal,sinTotal)\n)	1	Loading...	Loading...
مواد حساس	H19		HN	1	1.15	
مواد حساس	I19		LET(\nfarangiData, getPreviousDayRow(Table_Pizza_Last,Date),\ntotalGr, getIngredientValueById(DN,farangiData,Refresher),\nCONVERT_GR_TO_KG(totalGr)\n)	1	Loading...	Loading...
مواد حساس	J19		LET(\ningredientId, DN,\namericanPizzaSalesData,getPreviousDayRow(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getPreviousDayRow(Table_SalesData_ItalianPizza,Date),\npastaSalesData,getPreviousDayRow(Table_SalesData_Pasta,Date),\nsinglePizzaSalesData,getPreviousDayRow(Table_SalesData_SinglePizza,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\nlaTotal,getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Lasagna",Refresher),\nsum, SUM(amTotal,itTotal,laTotal,sinTotal),\ncalcBuffer(FN,CONVERT_GR_TO_KG(sum))\n)	1	Loading...	Loading...
مواد حساس	F20		LET(\ningredientId, DN,\namericanPizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_ItalianPizza,Date),\npastaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Pasta,Date),\nsinglePizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_SinglePizza,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\nlaTotal,getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Lasagna",Refresher),\naverage, getAverage({amTotal,itTotal,laTotal,sinTotal}),\nCONVERT_GR_TO_KG(average)\n)	1	Loading...	Loading...
مواد حساس	G20		LET(\ningredientId, DN,\namericanPizzaSalesData,getLast3DaysRows(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getLast3DaysRows(Table_SalesData_ItalianPizza,Date),\npastaSalesData,getLast3DaysRows(Table_SalesData_Pasta,Date),\nsinglePizzaSalesData,getLast3DaysRows(Table_SalesData_SinglePizza,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\nlaTotal,getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Lasagna",Refresher),\ngetTrendCoefficientLast3Days(amTotal,itTotal,laTotal,sinTotal)\n)	1	Loading...	Loading...
مواد حساس	H20		HN	1	1.15	
مواد حساس	I20		LET(\nfarangiData, getPreviousDayRow(Table_Pizza_Last,Date),\ntotalGr, getIngredientValueById(DN,farangiData,Refresher),\nCONVERT_GR_TO_KG(totalGr)\n)	1	Loading...	Loading...
مواد حساس	J20		LET(\ningredientId, DN,\namericanPizzaSalesData,getPreviousDayRow(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getPreviousDayRow(Table_SalesData_ItalianPizza,Date),\npastaSalesData,getPreviousDayRow(Table_SalesData_Pasta,Date),\nsinglePizzaSalesData,getPreviousDayRow(Table_SalesData_SinglePizza,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\nlaTotal,getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Lasagna",Refresher),\nsum, SUM(amTotal,itTotal,laTotal,sinTotal),\ncalcBuffer(FN,CONVERT_GR_TO_KG(sum))\n)	1	Loading...	Loading...
مواد حساس	F21		LET(\ningredientId, DN,\nitalianPizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_ItalianPizza,Date),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\naverage, getAverage(itTotal),\nCONVERT_GR_TO_KG(average)\n)	1	Loading...	Loading...
مواد حساس	G21		LET(\ningredientId, DN,\nitalianPizzaSalesData,getLast3DaysRows(Table_SalesData_ItalianPizza,Date),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\ngetTrendCoefficientLast3Days(itTotal)\n)	1	Loading...	Loading...
مواد حساس	H21		HN	1	1.15	
مواد حساس	I21		LET(\nfarangiData, getPreviousDayRow(Table_Pizza_Last,Date),\ntotalGr, getIngredientValueById(DN,farangiData,Refresher),\nCONVERT_GR_TO_KG(totalGr)\n)	1	Loading...	Loading...
مواد حساس	J21		LET(\ningredientId, DN,\nitalianPizzaSalesData,getPreviousDayRow(Table_SalesData_ItalianPizza,Date),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\nsum, SUM(itTotal),\ncalcBuffer(FN,CONVERT_GR_TO_KG(sum)))	1	Loading...	Loading...
مواد حساس	F22		LET(\ningredientId, DN,\namericanPizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_ItalianPizza,Date),\nsinglePizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_SinglePizza,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\naverage, getAverage({amTotal,itTotal,sinTotal}),\nCONVERT_GR_TO_KG(average))	1	Loading...	Loading...
مواد حساس	G22		LET(\ningredientId, DN,\namericanPizzaSalesData,getLast3DaysRows(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getLast3DaysRows(Table_SalesData_ItalianPizza,Date),\nsinglePizzaSalesData,getLast3DaysRows(Table_SalesData_SinglePizza,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\ngetTrendCoefficientLast3Days(amTotal,itTotal,sinTotal))	1	Loading...	Loading...
مواد حساس	H22		HN	1	1.15	
مواد حساس	I22		LET(\nfarangiData, getPreviousDayRow(Table_Pizza_Last,Date),\ntotalGr, getIngredientValueById(DN,farangiData,Refresher),\nCONVERT_GR_TO_KG(totalGr)\n)	1	Loading...	Loading...
مواد حساس	J22		LET(\ningredientId, DN,\namericanPizzaSalesData,getPreviousDayRow(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getPreviousDayRow(Table_SalesData_ItalianPizza,Date),\nsinglePizzaSalesData,getPreviousDayRow(Table_SalesData_SinglePizza,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\nsum, SUM(amTotal,itTotal,sinTotal),\ncalcBuffer(FN,CONVERT_GR_TO_KG(sum))\n)	1	Loading...	Loading...
مواد حساس	F23		LET(\ningredientId, DN,\namericanPizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_ItalianPizza,Date),\nsinglePizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_SinglePizza,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\naverage, getAverage({amTotal,itTotal,sinTotal}),\nCONVERT_GR_TO_KG(average))	1	Loading...	Loading...
مواد حساس	G23		LET(\ningredientId, DN,\namericanPizzaSalesData,getLast3DaysRows(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getLast3DaysRows(Table_SalesData_ItalianPizza,Date),\nsinglePizzaSalesData,getLast3DaysRows(Table_SalesData_SinglePizza,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\ngetTrendCoefficientLast3Days(amTotal,itTotal,sinTotal))	1	Loading...	Loading...
مواد حساس	H23		HN	1	1.15	
مواد حساس	I23		LET(\nfarangiData, getPreviousDayRow(Table_Pizza_Last,Date),\ntotalGr, getIngredientValueById(DN,farangiData,Refresher),\nCONVERT_GR_TO_KG(totalGr)\n)	1	Loading...	Loading...
مواد حساس	J23		LET(\ningredientId, DN,\namericanPizzaSalesData,getPreviousDayRow(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getPreviousDayRow(Table_SalesData_ItalianPizza,Date),\nsinglePizzaSalesData,getPreviousDayRow(Table_SalesData_SinglePizza,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\nsum, SUM(amTotal,itTotal,sinTotal),\ncalcBuffer(FN,CONVERT_GR_TO_KG(sum))\n)	1	Loading...	Loading...
مواد حساس	F24		LET(\ningredientId, DN,\namericanPizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_ItalianPizza,Date),\nsinglePizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_SinglePizza,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\naverage, getAverage({amTotal,itTotal,sinTotal}),\nCONVERT_GR_TO_KG(average))	1	Loading...	Loading...
مواد حساس	G24		LET(\ningredientId, DN,\namericanPizzaSalesData,getLast3DaysRows(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getLast3DaysRows(Table_SalesData_ItalianPizza,Date),\nsinglePizzaSalesData,getLast3DaysRows(Table_SalesData_SinglePizza,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\ngetTrendCoefficientLast3Days(amTotal,itTotal,sinTotal))	1	Loading...	Loading...
مواد حساس	H24		HN	1	1.15	
مواد حساس	I24		LET(\nfarangiData, getPreviousDayRow(Table_Pizza_Last,Date),\ntotalGr, getIngredientValueById(DN,farangiData,Refresher),\nCONVERT_GR_TO_KG(totalGr)\n)	1	Loading...	Loading...
مواد حساس	J24		LET(\ningredientId, DN,\namericanPizzaSalesData,getPreviousDayRow(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getPreviousDayRow(Table_SalesData_ItalianPizza,Date),\nsinglePizzaSalesData,getPreviousDayRow(Table_SalesData_SinglePizza,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\nsum, SUM(amTotal,itTotal,sinTotal),\ncalcBuffer(FN,CONVERT_GR_TO_KG(sum))\n)	1	Loading...	Loading...
مواد حساس	F25		LET(\ningredientId, DN,\nitalianPizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_ItalianPizza,Date),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\naverage, getAverage(itTotal),\nCONVERT_GR_TO_KG(average)\n)	1	Loading...	Loading...
مواد حساس	G25		LET(\ningredientId, DN,\nitalianPizzaSalesData,getLast3DaysRows(Table_SalesData_ItalianPizza,Date),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\ngetTrendCoefficientLast3Days(itTotal)\n)	1	Loading...	Loading...
مواد حساس	H25		HN	1	1.15	
مواد حساس	I25		LET(\nfarangiData, getPreviousDayRow(Table_Pizza_Last,Date),\ntotalGr, getIngredientValueById(DN,farangiData,Refresher),\nCONVERT_GR_TO_KG(totalGr)\n)	1	Loading...	Loading...
مواد حساس	J25		LET(\ningredientId, DN,\nitalianPizzaSalesData,getPreviousDayRow(Table_SalesData_ItalianPizza,Date),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\nsum, SUM(itTotal),\ncalcBuffer(FN,CONVERT_GR_TO_KG(sum)))	1	Loading...	Loading...
مواد حساس	F26		LET(\ningredientId, DN,\nsinglePizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_SinglePizza,Date),\namericanPizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_ItalianPizza,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\naverage, getAverage({amTotal,itTotal,sinTotal}),\nCONVERT_GR_TO_KG(average)\n)	1	Loading...	Loading...
مواد حساس	G26		LET(\ningredientId, DN,\nsinglePizzaSalesData,getLast3DaysRows(Table_SalesData_SinglePizza,Date),\namericanPizzaSalesData,getLast3DaysRows(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getLast3DaysRows(Table_SalesData_ItalianPizza,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\ngetTrendCoefficientLast3Days(amTotal,itTotal,sinTotal)\n)	1	Loading...	Loading...
مواد حساس	H26		HN	1	1.15	
مواد حساس	I26		LET(\nfarangiData, getPreviousDayRow(Table_Pizza_Last,Date),\ntotalGr, getIngredientValueById(DN,farangiData,Refresher),\nCONVERT_GR_TO_KG(totalGr)\n)	1	Loading...	Loading...
مواد حساس	J26		LET(\ningredientId, DN,\nsinglePizzaSalesData,getPreviousDayRow(Table_SalesData_SinglePizza,Date),\namericanPizzaSalesData,getPreviousDayRow(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getPreviousDayRow(Table_SalesData_ItalianPizza,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\nsum, SUM(amTotal,itTotal,sinTotal),\ncalcBuffer(FN,CONVERT_GR_TO_KG(sum))\n)	1	Loading...	Loading...
مواد حساس	F27		LET(\ningredientId, DN,\nsinglePizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_SinglePizza,Date),\namericanPizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_ItalianPizza,Date),\npastaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Pasta,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\nlaTotal,getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Lasagna",Refresher),\naverage, getAverage({amTotal,itTotal,laTotal,sinTotal}),\nCONVERT_GR_TO_KG(average)\n)	1	Loading...	Loading...
مواد حساس	G27		LET(\ningredientId, DN,\nsinglePizzaSalesData,getLast3DaysRows(Table_SalesData_SinglePizza,Date),\namericanPizzaSalesData,getLast3DaysRows(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getLast3DaysRows(Table_SalesData_ItalianPizza,Date),\npastaSalesData,getLast3DaysRows(Table_SalesData_Pasta,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\nlaTotal,getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Lasagna",Refresher),\ngetTrendCoefficientLast3Days(amTotal,itTotal,laTotal,sinTotal)\n)	1	Loading...	Loading...
مواد حساس	H27		HN	1	1.15	
مواد حساس	I27		LET(\nfarangiData, getPreviousDayRow(Table_Pizza_Last,Date),\ntotalGr, getIngredientValueById(DN,farangiData,Refresher),\nCONVERT_GR_TO_KG(totalGr)\n)	1	Loading...	Loading...
مواد حساس	J27		LET(\ningredientId, DN,\nsinglePizzaSalesData,getPreviousDayRow(Table_SalesData_SinglePizza,Date),\namericanPizzaSalesData,getPreviousDayRow(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getPreviousDayRow(Table_SalesData_ItalianPizza,Date),\npastaSalesData,getPreviousDayRow(Table_SalesData_Pasta,Date),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\nlaTotal,getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Lasagna",Refresher),\nsum, SUM(amTotal,itTotal,laTotal,sinTotal),\ncalcBuffer(FN,CONVERT_GR_TO_KG(sum))\n)	1	Loading...	Loading...
مواد حساس	F28		LET(\ningredientId, DN,\nsinglePizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_SinglePizza,Date),\namericanPizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_ItalianPizza,Date),\nstarterSalesData, getSameWeekdayRowsLast30Days(Table_SalesData_Starter,Date),\nstTotal,getTotalFoodsIngredientPerDay(ingredientId,starterSalesData,"Table_Ingredients_Starter",Refresher),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\naverage, getAverage({amTotal,itTotal,sinTotal,stTotal}),\nCONVERT_GR_TO_KG(average)\n)	1	Loading...	Loading...
مواد حساس	G28		LET(\ningredientId, DN,\nsinglePizzaSalesData,getLast3DaysRows(Table_SalesData_SinglePizza,Date),\namericanPizzaSalesData,getLast3DaysRows(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getLast3DaysRows(Table_SalesData_ItalianPizza,Date),\nstarterSalesData, getSameWeekdayRowsLast30Days(Table_SalesData_Starter,Date),\nstTotal,getTotalFoodsIngredientPerDay(ingredientId,starterSalesData,"Table_Ingredients_Starter",Refresher),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\ngetTrendCoefficientLast3Days(amTotal,itTotal,sinTotal,stTotal)\n)	1	Loading...	Loading...
مواد حساس	H28		HN	1	1.15	
مواد حساس	I28		LET(\nfarangiData, getPreviousDayRow(Table_Pizza_Last,Date),\ntotalGr, getIngredientValueById(DN,farangiData,Refresher),\nCONVERT_GR_TO_KG(totalGr)\n)	1	Loading...	Loading...
