sheet	range	group	formula	count	cached	error
مواد حساس	J5		LET(\ningredientId, DN,\namericanPizzaSalesData,getPreviousDayRow(Table_SalesData_AmericanPizza,Date),\nitalianPizzaSalesData,getPreviousDayRow(Table_SalesData_ItalianPizza,Date),\nsinglePizzaSalesData,getPreviousDayRow(Table_SalesData_SinglePizza,Date),\npastaSalesData,getPreviousDayRow(Table_SalesData_Pasta,Date),\namTotal,getTotalFoodsIngredientPerDay(ingredientId,americanPizzaSalesData,"Table_Ingredients_AmericanPizza",Refresher),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\nsinTotal,getTotalFoodsIngredientPerDay(ingredientId,singlePizzaSalesData,"Table_Ingredients_SinglePizza",Refresher),\npaTotal,getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Pasta",Refresher),\nsum, SUM(amTotal, itTotal, sinTotal, paTotal),\ncalcBuffer(FN,CONVERT_GR_TO_KG(sum))\n)	1	Loading...	Loading...
مواد حساس	F6		LET(\ningredientId, DN,\nsandwichSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Sandwich,Date),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\ngetAverage(sanTotal)\n)	1	Loading...	Loading...
مواد حساس	G6		LET(\ningredientId, DN,\nsandwichSalesData,getLast3DaysRows(Table_SalesData_Sandwich,Date),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\ngetTrendCoefficientLast3Days(sanTotal)\n)	1	Loading...	Loading...
مواد حساس	H6		HN	1	1.15	
مواد حساس	I6		LET(\nfarangiData, getPreviousDayRow(Table_Farangi_Last,Date),\ngetIngredientValueById(DN,farangiData,Refresher)\n)	1	Loading...	Loading...
مواد حساس	J6		LET(\ningredientId, DN,\nsandwichSalesData,getPreviousDayRow(Table_SalesData_Sandwich,Date),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\nsum, SUM(sanTotal),\ncalcBuffer(FN,sum)\n)	1	Loading...	Loading...
مواد حساس	F7		LET(\ningredientId, DN,\nitalianPizzaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_ItalianPizza,Date),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\ngetAverage(itTotal)\n)	1	Loading...	Loading...
مواد حساس	G7		LET(\ningredientId, DN,\nitalianPizzaSalesData,getLast3DaysRows(Table_SalesData_ItalianPizza,Date),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\ngetTrendCoefficientLast3Days(itTotal)\n)	1	Loading...	Loading...
مواد حساس	H7		HN	1	1.15	
مواد حساس	I7		LET(\nfarangiData, getPreviousDayRow(Table_Farangi_Last,Date),\ngetIngredientValueById(DN,farangiData,Refresher)\n)	1	Loading...	Loading...
مواد حساس	J7		LET(\ningredientId, DN,\nitalianPizzaSalesData,getPreviousDayRow(Table_SalesData_ItalianPizza,Date),\nitTotal,getTotalFoodsIngredientPerDay(ingredientId,italianPizzaSalesData,"Table_Ingredients_ItalianPizza",Refresher),\nsum, SUM(itTotal),\ncalcBuffer(FN,sum))	1	Loading...	Loading...
